ID_Progreso,ID_Usuario,ID_Plan,Porcentaje_Completado,Fecha_Actualizacion,Tipo_Plan
PROG-00386,USR-05687,PLAN-030,92.0,2025-03-16,HIIT
PROG-00387,USR-04463,PLAN-032,38.0,2024-11-01,HIIT
PROG-00388,USR-02969,PLAN-086,,2025-04-05,HIIT
PROG-00389,USR-07372,PLAN-090,61.0,2024-11-02,Fuerza
PROG-00390,USR-07536,PLAN-025,17.0,2025-05-16,Cardio
PROG-00391,USR-01782,PLAN-014,67.0,2025-04-03,Yoga
PROG-00392,USR-06181,PLAN-035,78.0,2025-01-12,Meditación
PROG-00393,USR-05344,PLAN-057,70.0,2025-09-09,HIIT
PROG-00394,USR-00849,PLAN-016,5.0,2025-04-02,Meditación
PROG-00395,USR-05095,PLAN-099,,2025-02-26,Meditación
PROG-00396,USR-05503,PLAN-097,21.0,2025-03-09,Fuerza
PROG-00397,USR-01932,PLAN-062,67.0,2025-08-07,Yoga
PROG-00398,USR-04495,PLAN-023,84.0,2025-01-25,Fuerza
PROG-00399,USR-04754,PLAN-057,36.0,2025-06-03,Yoga
PROG-00400,USR-04533,PLAN-095,58.0,2025-03-28,Cardio
PROG-00401,USR-00142,PLAN-003,17.0,2024-12-02,Yoga
PROG-00402,USR-04389,PLAN-005,83.0,2025-06-22,Cardio
PROG-00403,USR-01117,PLAN-083,100.0,2024-11-06,Yoga
PROG-00404,USR-05813,PLAN-053,34.0,2025-04-18,Fuerza
PROG-00405,USR-05860,PLAN-054,43.0,2025-02-04,Fuerza
PROG-00406,USR-06586,PLAN-070,85.0,2025-09-12,Cardio
PROG-00407,USR-03455,PLAN-068,83.0,2025-05-28,Fuerza
PROG-00408,USR-03732,PLAN-046,3.0,2025-07-25,Meditación
PROG-00409,USR-02627,PLAN-077,51.0,2025-04-14,Fuerza
PROG-00410,USR-04611,PLAN-009,63.0,2025-06-29,Meditación
PROG-00411,USR-02612,PLAN-043,,2025-08-03,Yoga
PROG-00412,USR-05892,PLAN-018,57.0,2025-06-19,Cardio
PROG-00413,USR-03259,PLAN-066,,2025-07-27,Cardio
PROG-00414,USR-07145,PLAN-046,13.0,2025-04-06,Fuerza
PROG-00415,USR-07513,PLAN-036,67.0,2025-01-23,Meditación
PROG-00416,USR-05043,PLAN-018,61.0,2025-01-08,Meditación
PROG-00417,USR-03317,PLAN-079,,2024-10-30,Yoga
PROG-00418,USR-07198,PLAN-076,90.0,2024-10-17,Meditación
PROG-00419,USR-06300,PLAN-066,19.0,2024-11-11,Yoga
PROG-00420,USR-01561,PLAN-023,94.0,2025-04-29,Cardio
PROG-00421,USR-07937,PLAN-070,16.0,2024-12-20,Cardio
PROG-00422,USR-02577,PLAN-058,29.0,2025-01-06,Meditación
PROG-00423,USR-05981,PLAN-058,49.0,2025-01-31,Yoga
PROG-00424,USR-05309,PLAN-020,48.0,2025-03-25,Cardio
PROG-00425,USR-05834,PLAN-005,79.0,2025-06-14,Yoga
PROG-00426,USR-00569,PLAN-094,27.0,2025-09-10,Cardio
PROG-00427,USR-03072,PLAN-056,98.0,2025-08-02,HIIT
PROG-00428,USR-06511,PLAN-038,7.0,2024-11-14,Cardio
PROG-00429,USR-00332,PLAN-072,81.0,2025-03-01,HIIT
PROG-00430,USR-02508,PLAN-020,4.0,2024-09-28,Cardio
PROG-00431,USR-07540,PLAN-028,27.0,2025-07-10,Meditación
PROG-00432,USR-02179,PLAN-079,82.0,2025-07-01,Meditación
PROG-00433,USR-01326,PLAN-087,16.0,2025-07-14,Meditación
PROG-00434,USR-02921,PLAN-011,54.0,2025-06-05,Meditación
PROG-00435,USR-06531,PLAN-012,76.0,2024-12-05,Yoga
PROG-00436,USR-01460,PLAN-087,79.0,2025-03-12,Meditación
PROG-00437,USR-01013,PLAN-012,69.0,2024-10-25,Cardio
PROG-00438,USR-03107,PLAN-007,8.0,2024-12-12,Cardio
PROG-00439,USR-07887,PLAN-019,0.0,2025-05-23,HIIT
PROG-00440,USR-00063,PLAN-040,88.0,2024-11-02,Meditación
PROG-00441,USR-05627,PLAN-038,67.0,2025-03-05,Meditación
PROG-00442,USR-07437,PLAN-038,12.0,2025-01-29,Cardio
PROG-00443,USR-05608,PLAN-083,12.0,2025-01-30,Meditación
PROG-00444,USR-02839,PLAN-058,7.0,2025-09-12,Fuerza
PROG-00445,USR-01054,PLAN-078,4.0,2024-10-21,Yoga
PROG-00446,USR-04356,PLAN-039,60.0,2025-01-10,Cardio
PROG-00447,USR-00244,PLAN-100,59.0,2024-12-06,Meditación
PROG-00448,USR-00050,PLAN-072,89.0,2024-10-15,Yoga
PROG-00449,USR-06706,PLAN-027,91.0,2025-07-14,Cardio
PROG-00450,USR-05923,PLAN-072,45.0,2025-02-28,Fuerza
PROG-00451,USR-02427,PLAN-029,49.0,2025-04-27,Cardio
PROG-00452,USR-01308,PLAN-035,94.0,2025-07-17,Yoga
PROG-00453,USR-00033,PLAN-080,49.0,2024-11-14,Fuerza
PROG-00454,USR-05539,PLAN-003,37.0,2024-09-14,Meditación
PROG-00455,USR-01250,PLAN-083,76.0,2025-04-30,Fuerza
PROG-00456,USR-07392,PLAN-021,37.0,2025-07-17,HIIT
PROG-00457,USR-04766,PLAN-013,97.0,2024-10-09,HIIT
PROG-00458,USR-07769,PLAN-080,45.0,2025-06-03,Fuerza
PROG-00459,USR-00813,PLAN-004,65.0,2025-08-26,Yoga
PROG-00460,USR-07987,PLAN-057,72.0,2024-09-15,Yoga
PROG-00461,USR-01589,PLAN-079,21.0,2025-09-08,Fuerza
PROG-00462,USR-06060,PLAN-094,74.0,2025-05-17,Yoga
PROG-00463,USR-00398,PLAN-050,87.0,2025-03-17,Cardio
PROG-00464,USR-00219,PLAN-100,3.0,2025-02-23,Cardio
PROG-00465,USR-01806,PLAN-075,31.0,2024-09-14,Meditación
PROG-00466,USR-07328,PLAN-067,50.0,2024-11-28,Cardio
PROG-00467,USR-04126,PLAN-015,1.0,2024-09-16,HIIT
PROG-00468,USR-02625,PLAN-055,30.0,2025-01-22,Yoga
PROG-00469,USR-03076,PLAN-038,97.0,2025-01-31,HIIT
PROG-00470,USR-00184,PLAN-089,58.0,2025-01-28,Fuerza
PROG-00471,USR-02187,PLAN-051,50.0,2025-06-09,Cardio
PROG-00472,USR-06899,PLAN-062,0.0,2025-07-25,Fuerza
PROG-00473,USR-04412,PLAN-100,9.0,2025-03-16,Meditación
PROG-00474,USR-02719,PLAN-024,45.0,2025-07-25,Cardio
PROG-00475,USR-03166,PLAN-081,72.0,2025-09-09,Yoga
PROG-00476,USR-01574,PLAN-067,46.0,2025-05-06,Cardio
PROG-00477,USR-07936,PLAN-022,77.0,2024-11-19,Meditación
PROG-00478,USR-07835,PLAN-068,48.0,2025-04-19,HIIT
PROG-00479,USR-07778,PLAN-023,64.0,2025-04-10,Meditación
PROG-00480,USR-07232,PLAN-006,5.0,2025-01-17,Meditación
PROG-00481,USR-04536,PLAN-053,94.0,2024-12-20,HIIT
PROG-00482,USR-06038,PLAN-007,11.0,2025-06-18,Yoga
PROG-00483,USR-01922,PLAN-033,55.0,2025-08-12,Fuerza
PROG-00484,USR-03644,PLAN-068,96.0,2025-01-18,Fuerza
PROG-00485,USR-06420,PLAN-012,23.0,2025-03-08,HIIT
PROG-00486,USR-02855,PLAN-004,86.0,2024-10-13,Fuerza
PROG-00487,USR-02802,PLAN-097,73.0,2025-04-26,Yoga
PROG-00488,USR-01357,PLAN-072,49.0,2025-01-27,Yoga
PROG-00489,USR-06380,PLAN-097,90.0,2025-05-15,Yoga
PROG-00490,USR-01409,PLAN-006,98.0,2024-11-06,Meditación
PROG-00491,USR-06935,PLAN-070,91.0,2025-02-05,Meditación
PROG-00492,USR-04936,PLAN-087,23.0,2025-07-06,Cardio
PROG-00493,USR-05941,PLAN-065,56.0,2025-06-28,HIIT
PROG-00494,USR-05988,PLAN-015,91.0,2025-08-29,HIIT
PROG-00495,USR-01383,PLAN-056,90.0,2025-07-24,HIIT
PROG-00496,USR-02775,PLAN-017,5.0,2025-02-21,HIIT
PROG-00497,USR-07905,PLAN-080,22.0,2025-02-25,Meditación
PROG-00498,USR-00719,PLAN-040,73.0,2024-11-12,HIIT
PROG-00499,USR-03020,PLAN-084,39.0,2025-03-21,Meditación
PROG-00500,USR-03993,PLAN-085,95.0,2025-09-10,Cardio
PROG-00501,USR-04114,PLAN-093,4.0,2025-02-23,Yoga
PROG-00502,USR-06255,PLAN-030,40.0,2025-01-13,Fuerza
PROG-00503,USR-07643,PLAN-098,78.0,2025-05-02,HIIT
PROG-00504,USR-05008,PLAN-055,75.0,2025-05-17,Meditación
PROG-00505,USR-06245,PLAN-092,89.0,2024-10-26,HIIT
PROG-00506,USR-06417,PLAN-034,27.0,2024-11-22,Yoga
PROG-00507,USR-00403,PLAN-020,32.0,2024-12-19,HIIT
PROG-00508,USR-03197,PLAN-069,64.0,2025-07-04,Fuerza
PROG-00509,USR-05345,PLAN-083,14.0,2025-03-22,Meditación
PROG-00510,USR-04709,PLAN-007,39.0,2025-07-18,Cardio
PROG-00511,USR-03916,PLAN-055,87.0,2024-10-26,HIIT
PROG-00512,USR-00345,PLAN-072,28.0,2024-10-29,Cardio
PROG-00513,USR-07125,PLAN-057,10.0,2025-09-01,Cardio
PROG-00514,USR-00959,PLAN-095,50.0,2024-10-21,HIIT
PROG-00515,USR-04777,PLAN-069,,2025-08-09,Fuerza
PROG-00516,USR-03053,PLAN-015,12.0,2025-09-05,HIIT
PROG-00517,USR-05720,PLAN-058,13.0,2024-12-17,Fuerza
PROG-00518,USR-00924,PLAN-001,37.0,2025-08-27,Fuerza
PROG-00519,USR-02789,PLAN-092,72.0,2025-06-17,Cardio
PROG-00520,USR-01062,PLAN-047,32.0,2025-09-09,Yoga
PROG-00521,USR-03428,PLAN-095,87.0,2024-10-23,Yoga
PROG-00522,USR-03117,PLAN-014,22.0,2025-01-01,Meditación
PROG-00523,USR-00952,PLAN-010,87.0,2025-04-25,HIIT
PROG-00524,USR-03050,PLAN-051,,2024-11-18,Fuerza
PROG-00525,USR-07242,PLAN-051,66.0,2024-11-05,Meditación
PROG-00526,USR-06861,PLAN-084,19.0,2024-09-21,Yoga
PROG-00527,USR-04907,PLAN-090,33.0,2025-04-20,Cardio
PROG-00528,USR-07456,PLAN-004,60.0,2025-03-24,Fuerza
PROG-00529,USR-03045,PLAN-017,89.0,2025-01-25,Fuerza
PROG-00530,USR-03938,PLAN-054,,2025-09-12,Cardio
PROG-00531,USR-04523,PLAN-033,65.0,2025-06-21,Fuerza
PROG-00532,USR-02264,PLAN-082,3.0,2025-05-11,Cardio
PROG-00533,USR-02910,PLAN-094,22.0,2025-05-10,HIIT
PROG-00534,USR-06582,PLAN-090,54.0,2025-05-12,HIIT
PROG-00535,USR-06498,PLAN-083,73.0,2025-08-03,Fuerza
PROG-00536,USR-05847,PLAN-004,60.0,2025-01-14,Cardio
PROG-00537,USR-03667,PLAN-036,2.0,2025-03-05,Yoga
PROG-00538,USR-03345,PLAN-001,100.0,2025-02-22,Fuerza
PROG-00539,USR-00170,PLAN-079,20.0,2025-04-13,HIIT
PROG-00540,USR-06539,PLAN-006,19.0,2024-09-22,HIIT
PROG-00541,USR-01774,PLAN-027,9.0,2024-10-23,Meditación
PROG-00542,USR-04529,PLAN-087,19.0,2025-07-30,HIIT
PROG-00543,USR-06851,PLAN-076,69.0,2024-10-09,Fuerza
PROG-00544,USR-00468,PLAN-063,,2024-11-05,Cardio
PROG-00545,USR-06527,PLAN-050,48.0,2025-03-15,Yoga
PROG-00546,USR-02814,PLAN-031,14.0,2025-02-22,Fuerza
PROG-00547,USR-04827,PLAN-060,24.0,2025-08-15,HIIT
PROG-00548,USR-02657,PLAN-099,66.0,2024-10-24,Fuerza
PROG-00549,USR-06041,PLAN-009,17.0,2025-05-09,HIIT
PROG-00550,USR-02593,PLAN-030,9.0,2025-06-20,Meditación
PROG-00551,USR-03970,PLAN-073,24.0,2025-03-07,Cardio
PROG-00552,USR-02563,PLAN-040,86.0,2025-07-17,Yoga
PROG-00553,USR-00579,PLAN-032,37.0,2025-02-07,HIIT
PROG-00554,USR-05728,PLAN-076,2.0,2024-09-13,Fuerza
PROG-00555,USR-05943,PLAN-023,,2024-09-19,Cardio
PROG-00556,USR-03249,PLAN-036,79.0,2025-05-07,Meditación
PROG-00557,USR-03689,PLAN-094,31.0,2025-02-02,Cardio
PROG-00558,USR-02764,PLAN-070,7.0,2025-04-27,Cardio
PROG-00559,USR-06024,PLAN-093,51.0,2025-02-15,Meditación
PROG-00560,USR-03677,PLAN-001,2.0,2025-02-24,Meditación
PROG-00561,USR-03538,PLAN-089,0.0,2025-02-06,Cardio
PROG-00562,USR-04188,PLAN-027,76.0,2025-02-12,HIIT
PROG-00563,USR-00893,PLAN-028,29.0,2025-06-25,Fuerza
PROG-00564,USR-06965,PLAN-056,14.0,2024-12-14,Yoga
PROG-00565,USR-05820,PLAN-039,62.0,2025-07-23,Cardio
PROG-00566,USR-04849,PLAN-095,76.0,2024-12-21,Cardio
PROG-00567,USR-04697,PLAN-036,27.0,2024-10-06,HIIT
PROG-00568,USR-00103,PLAN-077,4.0,2025-07-13,Cardio
PROG-00569,USR-00159,PLAN-029,12.0,2024-10-01,Fuerza
PROG-00570,USR-00747,PLAN-052,31.0,2025-02-07,Meditación
PROG-00571,USR-06967,PLAN-033,3.0,2025-01-04,Fuerza
PROG-00572,USR-03356,PLAN-093,11.0,2025-02-02,Meditación
PROG-00573,USR-06966,PLAN-074,27.0,2025-07-28,Meditación
PROG-00574,USR-00873,PLAN-050,75.0,2025-03-29,Fuerza
PROG-00575,USR-00664,PLAN-016,97.0,2025-07-15,Cardio
PROG-00576,USR-07173,PLAN-068,2.0,2025-03-17,HIIT
PROG-00577,USR-03550,PLAN-061,100.0,2024-09-14,Cardio
PROG-00578,USR-06924,PLAN-006,53.0,2025-06-25,Yoga
PROG-00579,USR-05659,PLAN-049,61.0,2025-06-12,HIIT
PROG-00580,USR-04501,PLAN-055,60.0,2025-04-17,Fuerza
PROG-00581,USR-02710,PLAN-057,20.0,2024-09-13,Cardio
PROG-00582,USR-00048,PLAN-080,10.0,2024-11-16,Cardio
PROG-00583,USR-06301,PLAN-070,72.0,2024-12-05,Cardio
PROG-00584,USR-07948,PLAN-071,,2025-09-01,Meditación
PROG-00585,USR-04982,PLAN-015,,2025-02-09,Yoga
PROG-00586,USR-04762,PLAN-053,45.0,2025-07-10,Yoga
PROG-00587,USR-00434,PLAN-068,38.0,2025-08-30,Cardio
PROG-00588,USR-00513,PLAN-098,89.0,2025-08-25,Cardio
PROG-00589,USR-01764,PLAN-017,92.0,2025-06-14,Fuerza
PROG-00590,USR-01631,PLAN-092,23.0,2024-10-15,HIIT
PROG-00591,USR-05266,PLAN-008,4.0,2025-05-15,Cardio
PROG-00592,USR-07377,PLAN-007,77.0,2024-11-05,Meditación
PROG-00593,USR-05114,PLAN-040,27.0,2025-03-02,Meditación
PROG-00594,USR-01854,PLAN-071,69.0,2025-01-14,Cardio
PROG-00595,USR-02803,PLAN-033,96.0,2024-11-22,Meditación
PROG-00596,USR-01917,PLAN-061,96.0,2025-07-23,Meditación
PROG-00597,USR-03116,PLAN-039,14.0,2025-03-25,Cardio
PROG-00598,USR-05774,PLAN-092,29.0,2024-12-09,Fuerza
PROG-00599,USR-04996,PLAN-003,25.0,2025-02-15,Yoga
PROG-00600,USR-03459,PLAN-004,1.0,2024-12-05,Yoga
PROG-00601,USR-03847,PLAN-067,42.0,2025-03-28,HIIT
PROG-00602,USR-01950,PLAN-017,18.0,2025-05-14,Cardio
PROG-00603,USR-05367,PLAN-015,40.0,2025-06-08,Cardio
PROG-00604,USR-01967,PLAN-072,45.0,2024-11-17,Meditación
PROG-00605,USR-07508,PLAN-031,46.0,2025-07-04,Fuerza
PROG-00606,USR-05376,PLAN-067,,2024-11-26,Meditación
PROG-00607,USR-05632,PLAN-026,30.0,2025-06-20,Meditación
PROG-00608,USR-07683,PLAN-064,79.0,2025-05-31,Meditación
PROG-00609,USR-05399,PLAN-075,38.0,2025-05-13,Fuerza
PROG-00610,USR-04573,PLAN-010,52.0,2024-12-29,Fuerza
PROG-00611,USR-07394,PLAN-086,18.0,2025-05-07,HIIT
PROG-00612,USR-06977,PLAN-068,33.0,2025-05-07,Cardio
PROG-00613,USR-07538,PLAN-035,78.0,2025-08-11,Meditación
PROG-00614,USR-00863,PLAN-004,46.0,2025-03-10,HIIT
PROG-00615,USR-00296,PLAN-024,55.0,2025-07-03,HIIT
PROG-00616,USR-05591,PLAN-044,,2024-12-03,Fuerza
PROG-00617,USR-02707,PLAN-033,57.0,2025-02-09,Cardio
PROG-00618,USR-05379,PLAN-054,58.0,2024-11-08,HIIT
PROG-00619,USR-01762,PLAN-046,52.0,2025-03-17,HIIT
PROG-00620,USR-07322,PLAN-076,9.0,2024-11-06,Meditación
PROG-00621,USR-03853,PLAN-061,,2025-02-10,Meditación
PROG-00622,USR-05955,PLAN-012,68.0,2025-01-31,Meditación
PROG-00623,USR-06133,PLAN-029,65.0,2025-05-13,Meditación
PROG-00624,USR-04670,PLAN-074,47.0,2025-04-18,Fuerza
PROG-00625,USR-05910,PLAN-001,10.0,2024-09-30,Meditación
PROG-00626,USR-05301,PLAN-037,9.0,2025-03-27,Meditación
PROG-00627,USR-06352,PLAN-017,89.0,2025-09-04,Fuerza
PROG-00628,USR-01627,PLAN-009,72.0,2024-10-18,Cardio
PROG-00629,USR-00160,PLAN-026,28.0,2025-04-08,Yoga
PROG-00630,USR-02574,PLAN-079,39.0,2025-03-14,Yoga
PROG-00631,USR-01329,PLAN-086,66.0,2025-02-12,Yoga
PROG-00632,USR-04005,PLAN-025,11.0,2025-06-14,Fuerza
PROG-00633,USR-07730,PLAN-044,96.0,2025-07-31,Fuerza
PROG-00634,USR-00777,PLAN-053,88.0,2024-09-29,Fuerza
PROG-00635,USR-06125,PLAN-070,6.0,2024-11-13,Meditación
PROG-00636,USR-06217,PLAN-040,93.0,2025-07-09,Meditación
PROG-00637,USR-06263,PLAN-089,64.0,2024-10-29,Cardio
PROG-00638,USR-05289,PLAN-090,79.0,2025-06-27,Meditación
PROG-00639,USR-05010,PLAN-093,1.0,2025-04-14,Yoga
PROG-00640,USR-04874,PLAN-026,21.0,2025-06-04,Yoga
PROG-00641,USR-01147,PLAN-043,60.0,2025-07-12,HIIT
PROG-00642,USR-03466,PLAN-052,57.0,2025-02-18,HIIT
PROG-00643,USR-02036,PLAN-013,10.0,2025-02-10,HIIT
PROG-00644,USR-05256,PLAN-021,69.0,2025-01-11,Fuerza
PROG-00645,USR-05142,PLAN-042,82.0,2025-08-24,Yoga
PROG-00646,USR-00637,PLAN-056,18.0,2025-04-15,Yoga
PROG-00647,USR-05746,PLAN-095,67.0,2025-08-02,Fuerza
PROG-00648,USR-00685,PLAN-053,84.0,2025-01-14,Meditación
PROG-00649,USR-07118,PLAN-096,90.0,2024-11-18,Cardio
PROG-00650,USR-07657,PLAN-044,24.0,2024-11-06,Fuerza
PROG-00651,USR-06494,PLAN-049,84.0,2025-08-27,Fuerza
PROG-00652,USR-06657,PLAN-042,66.0,2024-10-24,Fuerza
PROG-00653,USR-05271,PLAN-070,97.0,2025-01-09,Fuerza
PROG-00654,USR-02512,PLAN-039,64.0,2025-06-25,Meditación
PROG-00655,USR-07620,PLAN-096,31.0,2025-04-21,Yoga
PROG-00656,USR-02229,PLAN-064,43.0,2025-02-21,Cardio
PROG-00657,USR-05712,PLAN-029,18.0,2024-10-02,Cardio
PROG-00658,USR-03777,PLAN-065,25.0,2025-03-06,HIIT
PROG-00659,USR-05686,PLAN-004,8.0,2025-03-04,Cardio
PROG-00660,USR-01598,PLAN-064,38.0,2024-09-21,Fuerza
PROG-00661,USR-07563,PLAN-067,93.0,2024-10-11,Meditación
PROG-00662,USR-03517,PLAN-096,34.0,2025-08-07,Fuerza
PROG-00663,USR-01844,PLAN-058,1.0,2025-02-15,Cardio
PROG-00664,USR-00497,PLAN-046,87.0,2025-07-08,Fuerza
PROG-00665,USR-00660,PLAN-084,8.0,2025-08-17,Cardio
PROG-00666,USR-05529,PLAN-006,97.0,2025-04-19,Yoga
PROG-00667,USR-00419,PLAN-037,90.0,2024-11-02,Yoga
PROG-00668,USR-03433,PLAN-094,71.0,2025-04-06,Cardio
PROG-00669,USR-07682,PLAN-043,83.0,2025-02-05,Yoga
PROG-00670,USR-01112,PLAN-067,34.0,2025-03-20,Cardio
PROG-00671,USR-05877,PLAN-034,80.0,2025-03-30,Meditación
PROG-00672,USR-06518,PLAN-038,80.0,2024-10-12,Yoga
PROG-00673,USR-07087,PLAN-089,90.0,2025-03-06,Meditación
PROG-00674,USR-07174,PLAN-038,20.0,2024-11-12,HIIT
PROG-00675,USR-05428,PLAN-025,3.0,2024-12-17,Meditación
PROG-00676,USR-01314,PLAN-005,66.0,2024-09-15,Cardio
PROG-00677,USR-01757,PLAN-057,14.0,2025-06-26,Fuerza
PROG-00678,USR-01624,PLAN-046,81.0,2024-11-11,Cardio
PROG-00679,USR-06096,PLAN-091,99.0,2024-10-24,Meditación
PROG-00680,USR-04845,PLAN-057,,2024-09-23,Meditación
PROG-00681,USR-02094,PLAN-055,52.0,2024-12-05,Meditación
PROG-00682,USR-01904,PLAN-042,4.0,2025-04-20,Cardio
PROG-00683,USR-01469,PLAN-065,77.0,2025-05-31,Yoga
PROG-00684,USR-07083,PLAN-011,,2025-08-13,HIIT
PROG-00685,USR-02130,PLAN-097,63.0,2025-05-05,Yoga
PROG-00686,USR-00304,PLAN-034,88.0,2025-06-09,HIIT
PROG-00687,USR-06008,PLAN-070,16.0,2025-02-20,Meditación
PROG-00688,USR-01516,PLAN-036,,2025-07-15,HIIT
PROG-00689,USR-02263,PLAN-094,97.0,2025-01-07,Cardio
PROG-00690,USR-01351,PLAN-035,,2025-05-08,Fuerza
PROG-00691,USR-04225,PLAN-073,17.0,2025-07-17,Fuerza
PROG-00692,USR-05284,PLAN-009,,2024-12-29,Meditación
PROG-00693,USR-03865,PLAN-092,32.0,2024-11-18,HIIT
PROG-00694,USR-05126,PLAN-030,0.0,2025-04-08,Yoga
PROG-00695,USR-02510,PLAN-098,7.0,2025-04-01,Yoga
PROG-00696,USR-04989,PLAN-098,39.0,2025-02-25,Fuerza
PROG-00697,USR-05540,PLAN-023,26.0,2025-03-16,Cardio
PROG-00698,USR-06684,PLAN-066,58.0,2024-10-10,Cardio
PROG-00699,USR-00175,PLAN-005,13.0,2025-07-15,Cardio
PROG-00700,USR-03642,PLAN-100,64.0,2024-09-12,Cardio
PROG-00701,USR-05682,PLAN-005,48.0,2025-06-15,Yoga
PROG-00702,USR-03850,PLAN-077,82.0,2025-08-19,Meditación
PROG-00703,USR-05894,PLAN-055,,2024-10-20,Yoga
PROG-00704,USR-00019,PLAN-040,10.0,2024-10-01,Meditación
PROG-00705,USR-01068,PLAN-034,53.0,2025-05-03,Yoga
PROG-00706,USR-02297,PLAN-036,10.0,2024-09-25,Meditación
PROG-00707,USR-05550,PLAN-056,55.0,2025-04-07,Yoga
PROG-00708,USR-04925,PLAN-012,100.0,2024-10-19,HIIT
PROG-00709,USR-00309,PLAN-083,60.0,2025-05-25,Meditación
PROG-00710,USR-02871,PLAN-029,16.0,2024-12-01,Yoga
PROG-00711,USR-02724,PLAN-066,4.0,2024-10-17,Meditación
PROG-00712,USR-03972,PLAN-019,71.0,2025-09-04,Cardio
PROG-00713,USR-04986,PLAN-047,62.0,2025-02-06,Yoga
PROG-00714,USR-00781,PLAN-086,15.0,2024-10-21,Meditación
PROG-00715,USR-01828,PLAN-027,47.0,2025-05-25,HIIT
PROG-00716,USR-05194,PLAN-044,33.0,2025-03-28,Fuerza
PROG-00717,USR-02141,PLAN-036,9.0,2025-01-07,Cardio
PROG-00718,USR-05724,PLAN-070,48.0,2025-07-30,Fuerza
PROG-00719,USR-05382,PLAN-027,46.0,2024-10-23,Fuerza
PROG-00720,USR-07175,PLAN-071,3.0,2025-03-15,Fuerza
PROG-00721,USR-06998,PLAN-015,31.0,2025-09-04,HIIT
PROG-00722,USR-05231,PLAN-011,83.0,2024-11-19,Fuerza
PROG-00723,USR-04071,PLAN-011,,2025-08-24,Meditación
PROG-00724,USR-06525,PLAN-038,18.0,2025-03-28,HIIT
PROG-00725,USR-06178,PLAN-090,3.0,2025-03-23,Fuerza
PROG-00726,USR-03064,PLAN-088,83.0,2024-12-18,Fuerza
PROG-00727,USR-02665,PLAN-069,71.0,2024-11-29,Meditación
PROG-00728,USR-01565,PLAN-066,49.0,2025-03-24,Yoga
PROG-00729,USR-04439,PLAN-050,28.0,2025-08-03,Cardio
PROG-00730,USR-02258,PLAN-016,91.0,2025-06-08,Meditación
PROG-00731,USR-06253,PLAN-097,34.0,2025-07-20,HIIT
PROG-00732,USR-01292,PLAN-015,10.0,2025-06-12,Cardio
PROG-00733,USR-00196,PLAN-022,15.0,2024-10-14,HIIT
PROG-00734,USR-00278,PLAN-083,10.0,2025-06-07,Fuerza
PROG-00735,USR-02845,PLAN-049,45.0,2024-12-12,Meditación
PROG-00736,USR-04578,PLAN-005,74.0,2025-05-18,Yoga
PROG-00737,USR-05472,PLAN-064,,2025-01-15,Fuerza
PROG-00738,USR-01865,PLAN-078,52.0,2025-07-31,Yoga
PROG-00739,USR-06241,PLAN-017,74.0,2024-12-29,Yoga
PROG-00740,USR-01944,PLAN-027,49.0,2025-06-03,HIIT
PROG-00741,USR-00859,PLAN-059,21.0,2025-06-06,Fuerza
PROG-00742,USR-00862,PLAN-001,60.0,2025-06-28,Cardio
PROG-00743,USR-06429,PLAN-074,15.0,2024-09-29,Cardio
PROG-00744,USR-01207,PLAN-011,32.0,2024-10-24,Yoga
PROG-00745,USR-01046,PLAN-054,73.0,2025-06-28,Fuerza
PROG-00746,USR-01521,PLAN-063,86.0,2025-05-09,Meditación
PROG-00747,USR-04958,PLAN-023,48.0,2025-07-06,HIIT
PROG-00748,USR-07423,PLAN-022,23.0,2025-01-29,Fuerza
PROG-00749,USR-04045,PLAN-043,5.0,2024-12-08,HIIT
PROG-00750,USR-00657,PLAN-040,15.0,2025-08-24,Cardio
PROG-00751,USR-04947,PLAN-015,37.0,2024-10-21,Fuerza
PROG-00752,USR-02351,PLAN-003,82.0,2024-10-21,Yoga
PROG-00753,USR-00598,PLAN-027,36.0,2025-02-12,HIIT
PROG-00754,USR-00935,PLAN-023,,2025-02-18,HIIT
PROG-00755,USR-06455,PLAN-036,89.0,2024-11-05,HIIT
PROG-00756,USR-07070,PLAN-011,36.0,2024-12-23,Fuerza
PROG-00757,USR-01811,PLAN-089,,2025-01-15,Fuerza
PROG-00758,USR-04705,PLAN-070,88.0,2024-11-30,Meditación
PROG-00759,USR-03001,PLAN-094,34.0,2024-12-02,Fuerza
PROG-00760,USR-03276,PLAN-020,16.0,2024-10-22,Cardio
PROG-00761,USR-02723,PLAN-063,83.0,2025-08-05,Fuerza
PROG-00762,USR-00902,PLAN-091,5.0,2025-05-26,Fuerza
PROG-00763,USR-06204,PLAN-027,97.0,2025-06-06,Cardio
PROG-00764,USR-04039,PLAN-045,43.0,2024-11-06,HIIT
PROG-00765,USR-05694,PLAN-026,45.0,2025-07-29,Fuerza
PROG-00766,USR-04850,PLAN-064,87.0,2025-05-29,Cardio
PROG-00767,USR-07204,PLAN-074,26.0,2025-02-05,Cardio
PROG-00768,USR-05876,PLAN-066,72.0,2024-11-10,Yoga
PROG-00769,USR-04130,PLAN-003,53.0,2025-07-29,HIIT
PROG-00770,USR-03004,PLAN-069,40.0,2025-05-03,Yoga
PROG-00771,USR-07436,PLAN-041,1.0,2025-08-19,Cardio
PROG-00772,USR-00335,PLAN-044,61.0,2025-09-10,Yoga
